symbol,url
USDZAR,https://www.ig.com/ae/forex/markets-forex/usd-zar
USDNOK,https://www.ig.com/ae/forex/markets-forex/usd-nok
USDSEK,https://www.ig.com/ae/forex/markets-forex/usd-sek
USDDKK,https://www.ig.com/ae/forex/markets-forex/usd-dkk
USDSGD,https://www.ig.com/ae/forex/markets-forex/usd-sgd
GBPNOK,https://www.ig.com/ae/forex/markets-forex/gbp-nok
EURNOK,https://www.ig.com/ae/forex/markets-forex/eur-nok
EURSEK,https://www.ig.com/ae/forex/markets-forex/eur-sek
GBPSEK,https://www.ig.com/ae/forex/markets-forex/gbp-sek
EURZAR,https://www.ig.com/ae/forex/markets-forex/eur-zar
GBPZAR,https://www.ig.com/ae/forex/markets-forex/gbp-zar
XPTUSD,https://www.ig.com/ae/forex/markets-forex/spot-platinum-mini-lcp-5oz
OILUSD,https://www.ig.com/ae/commodities/markets-commodities/us-light-crude
#US500,https://www.ig.com/ae/indices/markets-indices/us-spx-500
#NAS100,https://www.ig.com/ae/indices/markets-indices/us-tech-100
#NIK225,https://www.ig.com/ae/indices/markets-indices/japan-225
#DE40,https://www.ig.com/ae/indices/markets-indices/germany-40
#US30,https://www.ig.com/ae/indices/markets-indices/wall-street
#GB100,https://www.ig.com/ae/indices/markets-indices/ftse-100
